{'loss_vfl': tensor(0.3396, device='cuda:0'), 'loss_bbox': tensor(6490.4448, device='cuda:0'), 'loss_giou': tensor(2.3759, device='cuda:0')}
{'loss_vfl': tensor(0.6105, device='cuda:0'), 'loss_bbox': tensor(5914.4199, device='cuda:0'), 'loss_giou': tensor(2.1146, device='cuda:0')}
{'loss_vfl': tensor(0.4134, device='cuda:0'), 'loss_bbox': tensor(6533.7949, device='cuda:0'), 'loss_giou': tensor(2.1580, device='cuda:0')}
{'loss_vfl': tensor(0.5878, device='cuda:0'), 'loss_bbox': tensor(6343.0542, device='cuda:0'), 'loss_giou': tensor(2.2128, device='cuda:0')}
{'loss_vfl': tensor(0.4007, device='cuda:0'), 'loss_bbox': tensor(6207.0811, device='cuda:0'), 'loss_giou': tensor(2.2628, device='cuda:0')}
{'loss_vfl': tensor(0.3690, device='cuda:0'), 'loss_bbox': tensor(7126.5605, device='cuda:0'), 'loss_giou': tensor(2.4969, device='cuda:0')}
{'loss_vfl': tensor(0.3840, device='cuda:0'), 'loss_bbox': tensor(6353.6104, device='cuda:0'), 'loss_giou': tensor(2.3486, device='cuda:0')}
{'loss_vfl': tensor(0.4171, device='cuda:0'), 'loss_bbox': tensor(6839.3901, device='cuda:0'), 'loss_giou': tensor(2.3399, device='cuda:0')}
{'loss_vfl': tensor(0.4432, device='cuda:0'), 'loss_bbox': tensor(6198.5132, device='cuda:0'), 'loss_giou': tensor(2.3453, device='cuda:0')}
{'loss_vfl': tensor(0.7206, device='cuda:0'), 'loss_bbox': tensor(6968.6846, device='cuda:0'), 'loss_giou': tensor(2.3404, device='cuda:0')}
{'loss_vfl': tensor(0.5484, device='cuda:0'), 'loss_bbox': tensor(7141.5093, device='cuda:0'), 'loss_giou': tensor(2.2764, device='cuda:0')}
{'loss_vfl': tensor(0.7528, device='cuda:0'), 'loss_bbox': tensor(6731.2847, device='cuda:0'), 'loss_giou': tensor(2.3591, device='cuda:0')}
{'loss_vfl': tensor(0.4978, device='cuda:0'), 'loss_bbox': tensor(7242.6807, device='cuda:0'), 'loss_giou': tensor(2.2915, device='cuda:0')}
{'loss_vfl': tensor(0.5296, device='cuda:0'), 'loss_bbox': tensor(7417.5049, device='cuda:0'), 'loss_giou': tensor(2.3130, device='cuda:0')}
{'loss_vfl': tensor(0.5135, device='cuda:0'), 'loss_bbox': tensor(6330.9688, device='cuda:0'), 'loss_giou': tensor(2.2058, device='cuda:0')}
{'loss_vfl': tensor(0.9516, device='cuda:0'), 'loss_bbox': tensor(6123.0947, device='cuda:0'), 'loss_giou': tensor(2.0842, device='cuda:0')}
{'loss_vfl': tensor(0.4162, device='cuda:0'), 'loss_bbox': tensor(6817.0625, device='cuda:0'), 'loss_giou': tensor(2.2179, device='cuda:0')}
{'loss_vfl': tensor(0.3467, device='cuda:0'), 'loss_bbox': tensor(7003.3276, device='cuda:0'), 'loss_giou': tensor(2.3526, device='cuda:0')}
{'loss_vfl': tensor(0.6602, device='cuda:0'), 'loss_bbox': tensor(7669.4946, device='cuda:0'), 'loss_giou': tensor(2.3691, device='cuda:0')}
{'loss_vfl': tensor(0.7559, device='cuda:0'), 'loss_bbox': tensor(6546.1074, device='cuda:0'), 'loss_giou': tensor(2.1646, device='cuda:0')}
{'loss_vfl': tensor(0.3664, device='cuda:0'), 'loss_bbox': tensor(7279.8789, device='cuda:0'), 'loss_giou': tensor(2.3396, device='cuda:0')}
{'loss_vfl': tensor(1.1333, device='cuda:0'), 'loss_bbox': tensor(7570.7202, device='cuda:0'), 'loss_giou': tensor(2.2316, device='cuda:0')}
{'loss_vfl': tensor(0.5290, device='cuda:0'), 'loss_bbox': tensor(6502.2207, device='cuda:0'), 'loss_giou': tensor(2.1779, device='cuda:0')}
{'loss_vfl': tensor(0.6626, device='cuda:0'), 'loss_bbox': tensor(6892.8125, device='cuda:0'), 'loss_giou': tensor(2.2922, device='cuda:0')}
{'loss_vfl': tensor(0.4469, device='cuda:0'), 'loss_bbox': tensor(6810.6538, device='cuda:0'), 'loss_giou': tensor(2.2797, device='cuda:0')}
{'loss_vfl': tensor(0.5199, device='cuda:0'), 'loss_bbox': tensor(6889.8496, device='cuda:0'), 'loss_giou': tensor(2.3298, device='cuda:0')}
{'loss_vfl': tensor(0.7061, device='cuda:0'), 'loss_bbox': tensor(7490.2295, device='cuda:0'), 'loss_giou': tensor(2.2535, device='cuda:0')}
{'loss_vfl': tensor(0.4286, device='cuda:0'), 'loss_bbox': tensor(7142.0820, device='cuda:0'), 'loss_giou': tensor(2.2252, device='cuda:0')}
{'loss_vfl': tensor(0.5993, device='cuda:0'), 'loss_bbox': tensor(6015.9478, device='cuda:0'), 'loss_giou': tensor(2.2381, device='cuda:0')}
{'loss_vfl': tensor(0.5891, device='cuda:0'), 'loss_bbox': tensor(6790.4810, device='cuda:0'), 'loss_giou': tensor(2.2192, device='cuda:0')}
{'loss_vfl': tensor(0.6966, device='cuda:0'), 'loss_bbox': tensor(6499.7695, device='cuda:0'), 'loss_giou': tensor(2.2752, device='cuda:0')}
{'loss_vfl': tensor(0.7147, device='cuda:0'), 'loss_bbox': tensor(6953.0508, device='cuda:0'), 'loss_giou': tensor(2.3129, device='cuda:0')}
{'loss_vfl': tensor(0.9582, device='cuda:0'), 'loss_bbox': tensor(6947.7744, device='cuda:0'), 'loss_giou': tensor(2.2523, device='cuda:0')}
{'loss_vfl': tensor(0.2613, device='cuda:0'), 'loss_bbox': tensor(6266.7607, device='cuda:0'), 'loss_giou': tensor(2.2122, device='cuda:0')}
{'loss_vfl': tensor(0.5426, device='cuda:0'), 'loss_bbox': tensor(5943.4365, device='cuda:0'), 'loss_giou': tensor(2.2910, device='cuda:0')}
{'loss_vfl': tensor(0.5420, device='cuda:0'), 'loss_bbox': tensor(5279.8140, device='cuda:0'), 'loss_giou': tensor(2.0796, device='cuda:0')}
{'loss_vfl': tensor(0.3421, device='cuda:0'), 'loss_bbox': tensor(6599.4966, device='cuda:0'), 'loss_giou': tensor(2.3125, device='cuda:0')}
{'loss_vfl': tensor(0.8684, device='cuda:0'), 'loss_bbox': tensor(6372.8706, device='cuda:0'), 'loss_giou': tensor(2.2861, device='cuda:0')}
{'loss_vfl': tensor(0.3321, device='cuda:0'), 'loss_bbox': tensor(6287.2695, device='cuda:0'), 'loss_giou': tensor(2.2803, device='cuda:0')}
{'loss_vfl': tensor(0.3720, device='cuda:0'), 'loss_bbox': tensor(7394.6660, device='cuda:0'), 'loss_giou': tensor(2.4567, device='cuda:0')}
{'loss_vfl': tensor(0.6469, device='cuda:0'), 'loss_bbox': tensor(6069.3599, device='cuda:0'), 'loss_giou': tensor(2.2384, device='cuda:0')}
{'loss_vfl': tensor(0.3631, device='cuda:0'), 'loss_bbox': tensor(6167.8818, device='cuda:0'), 'loss_giou': tensor(2.2472, device='cuda:0')}
{'loss_vfl': tensor(0.5013, device='cuda:0'), 'loss_bbox': tensor(7926.1987, device='cuda:0'), 'loss_giou': tensor(2.3384, device='cuda:0')}
{'loss_vfl': tensor(0.8103, device='cuda:0'), 'loss_bbox': tensor(6850.3535, device='cuda:0'), 'loss_giou': tensor(2.2220, device='cuda:0')}
{'loss_vfl': tensor(0.3609, device='cuda:0'), 'loss_bbox': tensor(6290.6797, device='cuda:0'), 'loss_giou': tensor(2.1783, device='cuda:0')}
{'loss_vfl': tensor(0.3845, device='cuda:0'), 'loss_bbox': tensor(6491.9307, device='cuda:0'), 'loss_giou': tensor(2.3761, device='cuda:0')}
{'loss_vfl': tensor(0.8661, device='cuda:0'), 'loss_bbox': tensor(5915.5610, device='cuda:0'), 'loss_giou': tensor(2.1144, device='cuda:0')}
{'loss_vfl': tensor(0.4966, device='cuda:0'), 'loss_bbox': tensor(6535.4482, device='cuda:0'), 'loss_giou': tensor(2.1580, device='cuda:0')}
{'loss_vfl': tensor(0.5575, device='cuda:0'), 'loss_bbox': tensor(6344.4521, device='cuda:0'), 'loss_giou': tensor(2.2130, device='cuda:0')}
{'loss_vfl': tensor(0.6223, device='cuda:0'), 'loss_bbox': tensor(6207.9346, device='cuda:0'), 'loss_giou': tensor(2.2630, device='cuda:0')}
{'loss_vfl': tensor(0.3501, device='cuda:0'), 'loss_bbox': tensor(7129.5747, device='cuda:0'), 'loss_giou': tensor(2.4975, device='cuda:0')}
{'loss_vfl': tensor(0.2989, device='cuda:0'), 'loss_bbox': tensor(6355.3867, device='cuda:0'), 'loss_giou': tensor(2.3490, device='cuda:0')}
{'loss_vfl': tensor(0.3702, device='cuda:0'), 'loss_bbox': tensor(6841.5967, device='cuda:0'), 'loss_giou': tensor(2.3400, device='cuda:0')}
{'loss_vfl': tensor(0.4100, device='cuda:0'), 'loss_bbox': tensor(6200.9380, device='cuda:0'), 'loss_giou': tensor(2.3453, device='cuda:0')}
{'loss_vfl': tensor(0.5968, device='cuda:0'), 'loss_bbox': tensor(6970.3574, device='cuda:0'), 'loss_giou': tensor(2.3407, device='cuda:0')}
{'loss_vfl': tensor(0.7231, device='cuda:0'), 'loss_bbox': tensor(7142.3853, device='cuda:0'), 'loss_giou': tensor(2.2766, device='cuda:0')}
{'loss_vfl': tensor(0.6435, device='cuda:0'), 'loss_bbox': tensor(6733.4399, device='cuda:0'), 'loss_giou': tensor(2.3596, device='cuda:0')}
{'loss_vfl': tensor(0.6186, device='cuda:0'), 'loss_bbox': tensor(7244.6328, device='cuda:0'), 'loss_giou': tensor(2.2915, device='cuda:0')}
{'loss_vfl': tensor(0.5817, device='cuda:0'), 'loss_bbox': tensor(7420.1084, device='cuda:0'), 'loss_giou': tensor(2.3132, device='cuda:0')}
{'loss_vfl': tensor(0.7052, device='cuda:0'), 'loss_bbox': tensor(6332.1240, device='cuda:0'), 'loss_giou': tensor(2.2061, device='cuda:0')}
{'loss_vfl': tensor(1.2261, device='cuda:0'), 'loss_bbox': tensor(6124.9082, device='cuda:0'), 'loss_giou': tensor(2.0843, device='cuda:0')}
{'loss_vfl': tensor(0.4155, device='cuda:0'), 'loss_bbox': tensor(6818.9854, device='cuda:0'), 'loss_giou': tensor(2.2181, device='cuda:0')}
{'loss_vfl': tensor(0.3817, device='cuda:0'), 'loss_bbox': tensor(7005.1006, device='cuda:0'), 'loss_giou': tensor(2.3527, device='cuda:0')}
{'loss_vfl': tensor(0.6580, device='cuda:0'), 'loss_bbox': tensor(7671.3301, device='cuda:0'), 'loss_giou': tensor(2.3693, device='cuda:0')}
{'loss_vfl': tensor(0.6731, device='cuda:0'), 'loss_bbox': tensor(6547.1221, device='cuda:0'), 'loss_giou': tensor(2.1650, device='cuda:0')}
{'loss_vfl': tensor(0.3758, device='cuda:0'), 'loss_bbox': tensor(7281.9185, device='cuda:0'), 'loss_giou': tensor(2.3400, device='cuda:0')}
{'loss_vfl': tensor(1.2137, device='cuda:0'), 'loss_bbox': tensor(7572.2432, device='cuda:0'), 'loss_giou': tensor(2.2318, device='cuda:0')}
{'loss_vfl': tensor(0.6919, device='cuda:0'), 'loss_bbox': tensor(6502.5381, device='cuda:0'), 'loss_giou': tensor(2.1779, device='cuda:0')}
{'loss_vfl': tensor(0.7300, device='cuda:0'), 'loss_bbox': tensor(6894.9321, device='cuda:0'), 'loss_giou': tensor(2.2921, device='cuda:0')}
{'loss_vfl': tensor(0.4472, device='cuda:0'), 'loss_bbox': tensor(6812.8311, device='cuda:0'), 'loss_giou': tensor(2.2802, device='cuda:0')}
{'loss_vfl': tensor(0.5688, device='cuda:0'), 'loss_bbox': tensor(6892.1235, device='cuda:0'), 'loss_giou': tensor(2.3298, device='cuda:0')}
{'loss_vfl': tensor(0.6283, device='cuda:0'), 'loss_bbox': tensor(7492.4023, device='cuda:0'), 'loss_giou': tensor(2.2537, device='cuda:0')}
{'loss_vfl': tensor(0.4645, device='cuda:0'), 'loss_bbox': tensor(7144.2373, device='cuda:0'), 'loss_giou': tensor(2.2257, device='cuda:0')}
{'loss_vfl': tensor(0.5002, device='cuda:0'), 'loss_bbox': tensor(6017.2637, device='cuda:0'), 'loss_giou': tensor(2.2380, device='cuda:0')}
{'loss_vfl': tensor(0.8303, device='cuda:0'), 'loss_bbox': tensor(6792.3867, device='cuda:0'), 'loss_giou': tensor(2.2186, device='cuda:0')}
{'loss_vfl': tensor(0.7348, device='cuda:0'), 'loss_bbox': tensor(6502.2046, device='cuda:0'), 'loss_giou': tensor(2.2753, device='cuda:0')}
{'loss_vfl': tensor(0.6229, device='cuda:0'), 'loss_bbox': tensor(6954.9600, device='cuda:0'), 'loss_giou': tensor(2.3130, device='cuda:0')}
{'loss_vfl': tensor(1.2143, device='cuda:0'), 'loss_bbox': tensor(6950.0566, device='cuda:0'), 'loss_giou': tensor(2.2527, device='cuda:0')}
{'loss_vfl': tensor(0.2581, device='cuda:0'), 'loss_bbox': tensor(6268.6187, device='cuda:0'), 'loss_giou': tensor(2.2124, device='cuda:0')}
{'loss_vfl': tensor(0.4586, device='cuda:0'), 'loss_bbox': tensor(5945.0449, device='cuda:0'), 'loss_giou': tensor(2.2912, device='cuda:0')}
{'loss_vfl': tensor(0.3849, device='cuda:0'), 'loss_bbox': tensor(5281.9307, device='cuda:0'), 'loss_giou': tensor(2.0795, device='cuda:0')}
{'loss_vfl': tensor(0.2769, device='cuda:0'), 'loss_bbox': tensor(6601.2944, device='cuda:0'), 'loss_giou': tensor(2.3128, device='cuda:0')}
{'loss_vfl': tensor(0.7045, device='cuda:0'), 'loss_bbox': tensor(6374.4897, device='cuda:0'), 'loss_giou': tensor(2.2863, device='cuda:0')}
{'loss_vfl': tensor(0.4077, device='cuda:0'), 'loss_bbox': tensor(6288.7480, device='cuda:0'), 'loss_giou': tensor(2.2806, device='cuda:0')}
{'loss_vfl': tensor(0.2173, device='cuda:0'), 'loss_bbox': tensor(7397.6807, device='cuda:0'), 'loss_giou': tensor(2.4571, device='cuda:0')}
{'loss_vfl': tensor(0.5204, device='cuda:0'), 'loss_bbox': tensor(6071.2217, device='cuda:0'), 'loss_giou': tensor(2.2386, device='cuda:0')}
{'loss_vfl': tensor(0.3571, device='cuda:0'), 'loss_bbox': tensor(6169.6919, device='cuda:0'), 'loss_giou': tensor(2.2478, device='cuda:0')}
{'loss_vfl': tensor(0.5696, device='cuda:0'), 'loss_bbox': tensor(7928.0669, device='cuda:0'), 'loss_giou': tensor(2.3386, device='cuda:0')}
{'loss_vfl': tensor(0.8863, device='cuda:0'), 'loss_bbox': tensor(6852.1650, device='cuda:0'), 'loss_giou': tensor(2.2221, device='cuda:0')}
{'loss_vfl': tensor(0.3798, device='cuda:0'), 'loss_bbox': tensor(6292.4092, device='cuda:0'), 'loss_giou': tensor(2.1785, device='cuda:0')}
{'loss_vfl': tensor(0.4153, device='cuda:0'), 'loss_bbox': tensor(6492.4746, device='cuda:0'), 'loss_giou': tensor(2.3764, device='cuda:0')}
{'loss_vfl': tensor(0.8209, device='cuda:0'), 'loss_bbox': tensor(5916.7734, device='cuda:0'), 'loss_giou': tensor(2.1147, device='cuda:0')}
{'loss_vfl': tensor(0.5133, device='cuda:0'), 'loss_bbox': tensor(6535.8931, device='cuda:0'), 'loss_giou': tensor(2.1580, device='cuda:0')}
{'loss_vfl': tensor(0.4217, device='cuda:0'), 'loss_bbox': tensor(6345.1460, device='cuda:0'), 'loss_giou': tensor(2.2127, device='cuda:0')}
{'loss_vfl': tensor(0.6317, device='cuda:0'), 'loss_bbox': tensor(6209.3452, device='cuda:0'), 'loss_giou': tensor(2.2634, device='cuda:0')}
{'loss_vfl': tensor(0.3336, device='cuda:0'), 'loss_bbox': tensor(7128.9702, device='cuda:0'), 'loss_giou': tensor(2.4969, device='cuda:0')}
{'loss_vfl': tensor(0.6139, device='cuda:0'), 'loss_bbox': tensor(6355.2031, device='cuda:0'), 'loss_giou': tensor(2.3488, device='cuda:0')}
{'loss_vfl': tensor(0.4460, device='cuda:0'), 'loss_bbox': tensor(6841.6528, device='cuda:0'), 'loss_giou': tensor(2.3398, device='cuda:0')}
{'loss_vfl': tensor(0.4289, device='cuda:0'), 'loss_bbox': tensor(6201.1074, device='cuda:0'), 'loss_giou': tensor(2.3454, device='cuda:0')}
{'loss_vfl': tensor(0.5034, device='cuda:0'), 'loss_bbox': tensor(6970.4927, device='cuda:0'), 'loss_giou': tensor(2.3406, device='cuda:0')}
{'loss_vfl': tensor(0.6698, device='cuda:0'), 'loss_bbox': tensor(7143.5107, device='cuda:0'), 'loss_giou': tensor(2.2764, device='cuda:0')}
